code	original_code	title	composer	track_number	is_duplicate
020320	0203	東方萃夢想	U2	20	0
020321	0203	魔所	NKZ	21	0
020322	0203	月輪	NKZ	22	0
020323	0203	遍参	NKZ	23	0
020324	0203	裏心	NKZ	24	0
020325	0203	Intermezzo	NKZ	25	0
020326	0203	あゆのかぜ	NKZ	26	0
020327	0203	森閑	U2	27	0
020328	0203	仰空	U2	28	0
020329	0203	幽境	U2	29	0
020330	0203	珍客	U2	30	0
020331	0203	紅夜	U2	31	0
020332	0203	戦迅	U2	32	0
020333	0203	禍機	U2	33	0
020334	0203	砕月	U2	34	0
020401	0204	永夜抄　～ Eastern Night.	ZUN	1	0
020402	0204	幻視の夜　～ Ghostly Eyes	ZUN	2	0
020403	0204	蠢々秋月　～ Mooned Insect	ZUN	3	0
020404	0204	夜雀の歌声　～ Night Bird	ZUN	4	0
020405	0204	もう歌しか聞こえない	ZUN	5	0
020406	0204	懐かしき東方の血　～ Old World	ZUN	6	0
020407	0204	プレインエイジア	ZUN	7	0
020408	0204	永夜の報い　～ Imperishable Night.	ZUN	8	0
020409	0204	少女綺想曲　～ Dream Battle	ZUN	9	0
020410	0204	恋色マスタースパーク	ZUN	10	0
020411	0204	シンデレラケージ　～ Kagome-Kagome	ZUN	11	0
020412	0204	狂気の瞳　～ Invisible Full Moon	ZUN	12	0
020413	0204	ヴォヤージュ1969	ZUN	13	0
020414	0204	千年幻想郷　～ History of the Moon	ZUN	14	0
020415	0204	竹取飛翔　～ Lunatic Princess	ZUN	15	0
020416	0204	ヴォヤージュ1970	ZUN	16	0
020417	0204	エクステンドアッシュ　～ 蓬莱人	ZUN	17	0
020418	0204	月まで届け、不死の煙	ZUN	18	0
020419	0204	月見草	ZUN	19	0
020420	0204	Eternal Dream　～ 幽玄の槭樹	ZUN	20	0
020421	0204	東方妖怪小町	ZUN	21	0
020501	0205	花映塚　～ Higan Retour	ZUN	1	0
020502	0205	春色小径　～ Colorful Path	ZUN	2	0
020503	0205	オリエンタルダークフライト	ZUN	3	0
020504	0205	フラワリングナイト	ZUN	4	0
020505	0205	東方妖々夢　～ Ancient Temple	ZUN	5	1
020506	0205	狂気の瞳　～ Invisible Full Moon	ZUN	6	1
020507	0205	おてんば恋娘の冒険	ZUN	7	0
020508	0205	幽霊楽団　～ Phantom Ensemble	ZUN	8	1
020509	0205	もう歌しか聞こえない　～ Flower Mix	ZUN	9	0
020510	0205	お宇佐さまの素い幡	ZUN	10	0
